,play,bpm,volume,sync,seq,pitch,rest,varname,chord,newline,{,->,*,+,++,-,--,>,>>,<,<<,num,(,[,octave,time,},",",),.,],~,EOF,PROG,ELEMSR,ELEM,ELEM2,VAR,NUM2,ELEMS,SEQ,SYNC,PLAY,CHORD,SUBBODY,NOTE,SUBNOTE,OCTAVE,REST,TIME
13,,,,,,,,,,REDUCE 22,,REDUCE 22,REDUCE 22,REDUCE 22,REDUCE 22,REDUCE 22,REDUCE 22,REDUCE 22,REDUCE 22,REDUCE 22,REDUCE 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,REDUCE 23,,REDUCE 23,REDUCE 23,REDUCE 23,REDUCE 23,REDUCE 23,REDUCE 23,REDUCE 23,REDUCE 23,REDUCE 23,REDUCE 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,SHIFT 41,SHIFT 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,
16,,,,,,,,,,SHIFT 41,SHIFT 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,SHIFT 43,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,SHIFT 44,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,REDUCE 24,,REDUCE 24,REDUCE 24,REDUCE 24,REDUCE 24,REDUCE 24,REDUCE 24,REDUCE 24,REDUCE 24,REDUCE 24,REDUCE 24,,,SHIFT 45,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,SHIFT 46,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,SHIFT 7,SHIFT 8,SHIFT 15,SHIFT 16,SHIFT 17,SHIFT 18,SHIFT 19,SHIFT 20,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 0,,,48,6,13,,47,10,9,,14,,11,,,12,
22,SHIFT 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,
23,,,,,,,,,,REDUCE 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,SHIFT 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,SHIFT 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,SHIFT 7,SHIFT 8,SHIFT 15,SHIFT 16,SHIFT 17,SHIFT 18,SHIFT 19,SHIFT 20,REDUCE 29,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,13,,52,10,9,,14,,11,,,12,
27,,,,,,,,SHIFT 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,SHIFT 54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,SHIFT 55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,REDUCE 11,,REDUCE 11,REDUCE 11,REDUCE 11,REDUCE 11,REDUCE 11,REDUCE 11,REDUCE 11,REDUCE 11,REDUCE 11,REDUCE 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,SHIFT 56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,REDUCE 13,,REDUCE 13,REDUCE 13,REDUCE 13,REDUCE 13,REDUCE 13,REDUCE 13,REDUCE 13,REDUCE 13,REDUCE 13,REDUCE 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,SHIFT 57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,REDUCE 15,,REDUCE 15,REDUCE 15,REDUCE 15,REDUCE 15,REDUCE 15,REDUCE 15,REDUCE 15,REDUCE 15,REDUCE 15,REDUCE 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,SHIFT 58,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,REDUCE 17,,REDUCE 17,REDUCE 17,REDUCE 17,REDUCE 17,REDUCE 17,REDUCE 17,REDUCE 17,REDUCE 17,REDUCE 17,REDUCE 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,REDUCE 6,,REDUCE 6,REDUCE 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,REDUCE 7,,REDUCE 7,REDUCE 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,REDUCE 31,,REDUCE 31,REDUCE 31,REDUCE 31,REDUCE 31,REDUCE 31,REDUCE 31,REDUCE 31,REDUCE 31,REDUCE 31,REDUCE 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,SHIFT 59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,SHIFT 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,REDUCE 30,,REDUCE 30,REDUCE 30,REDUCE 30,REDUCE 30,REDUCE 30,REDUCE 30,REDUCE 30,REDUCE 30,REDUCE 30,REDUCE 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,SHIFT 65,,,,,,SHIFT 62,,,SHIFT 64,,,,,,,,,,,,,,,,,,,,,,61,63,,
44,,,,,,,,,,,,,,,,,,,,,,SHIFT 67,,,,SHIFT 68,,,,,,,,,,,,,,,,,,,,,,,,66
45,,,,,,,,,,,,,,,,,,,,,,SHIFT 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,SHIFT 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REDUCE 3,,,,,,,,,,,,,,,,,
48,,,,,,,,,,SHIFT 71,,SHIFT 27,SHIFT 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,SHIFT 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,SHIFT 7,SHIFT 8,SHIFT 15,SHIFT 16,SHIFT 17,SHIFT 18,SHIFT 19,SHIFT 20,,,,,,,,,,,,,,,,,,SHIFT 74,,,,,,,,,75,6,13,,73,10,9,,14,,11,,,12,
51,,,,,,,,,,SHIFT 76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,REDUCE 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,REDUCE 8,,REDUCE 8,REDUCE 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,REDUCE 9,,REDUCE 9,REDUCE 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,REDUCE 10,,REDUCE 10,REDUCE 10,REDUCE 10,REDUCE 10,REDUCE 10,REDUCE 10,REDUCE 10,REDUCE 10,REDUCE 10,REDUCE 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
